id,name,fsa_code,area,main_type,cuisine_group,price_level,rating,user_rating_count,menu_for_children,good_for_children,good_for_groups,accepts_non_cash,has_free_parking,has_paid_parking,open_24hrs,weekday_open_days,weekend_open_days,total_hrs,avg_daily_hrs,avg_weekday_hrs,avg_weekend_hrs
ChIJoaaBb3AkoFMRya2Hdm582bc,Press'd Sandwich Shop,T5L,NorthWestmount /  WestCalder /  EastMistatim,fast or casual dining,fast food restaurant,inexpensive,4.5,238.0,False,True,True,True,True,False,False,5,2,68.5,9.785714285714286,10.5,8.0
ChIJMWthad4joFMRzAbIlCqs9xQ,Pizza Hut,T5M,SouthWestmount / Groat Estate /  EastNorthwest Industrial,western cuisine,italian restaurant,moderate,4.4,499.0,False,True,False,True,True,False,False,5,2,96.5,13.785714285714286,13.7,14.0
ChIJPYd1-T8goFMRguSSgVAWo1c,Pizza Hut,T5T,West Jasper Place / West Edmonton Mall,western cuisine,italian restaurant,moderate,3.4,363.0,True,True,False,True,True,False,False,5,2,96.0,13.714285714285714,13.6,14.0
ChIJl1R-yMMjoFMR-VGFszDsIyI,Roadrunner Pizza Donair,T5M,SouthWestmount / Groat Estate /  EastNorthwest Industrial,western cuisine,italian restaurant,inexpensive,3.9,292.0,False,False,False,True,True,False,False,5,2,49.0,7.0,7.2,6.5
ChIJadmlRgchoFMRwtTQ4pHGWa0,Taco Bell,T5P,NorthJasper Place,fast or casual dining,fast food restaurant,inexpensive,2.4,492.0,True,True,True,True,True,False,True,5,2,168.0,24.0,24.0,24.0
ChIJOfZoR7EfoFMRcdSCjU77FpI,Original Joe's,T6R,Riverbend,generic restaurant,restaurant,moderate,4.1,913.0,False,False,True,True,True,False,False,5,2,94.0,13.428571428571429,13.4,13.5
ChIJJSgPszkioFMROXp5CmnSjUs,Subway,T5J,NorthDowntown,fast or casual dining,fast food restaurant,inexpensive,4.1,149.0,True,True,False,True,True,False,False,5,2,88.0,12.571428571428571,14.0,9.0
ChIJ3aX1HhMgoFMRwfDaVWFpbdI,Little Caesars Pizza,T5T,West Jasper Place / West Edmonton Mall,western cuisine,italian restaurant,inexpensive,4.0,220.0,False,False,False,True,True,False,False,5,2,81.0,11.571428571428571,11.4,12.0
ChIJ-cXumCgfoFMRx7srn3RffQU,Al Salam Bakery & Restaurant,T6E,SouthBonnie Doon /  EastUniversity,other cuisine,middle eastern restaurant,moderate,4.3,1467.0,False,True,True,True,True,False,False,5,2,84.0,12.0,12.0,12.0
ChIJJ0QS0-ofoFMR2forMIB7Vv0,McDonald's,T6R,Riverbend,fast or casual dining,fast food restaurant,inexpensive,3.3,1139.0,True,True,True,True,True,False,True,5,2,168.0,24.0,24.0,24.0
ChIJnS9etYqYY0ER3deRtIbLsBo,Roma Pizza & Donair,T6J,Kaskitayo / Aspen Gardens,western cuisine,italian restaurant,inexpensive,4.5,781.0,True,True,True,True,True,False,False,5,2,85.0,12.142857142857142,12.2,12.0
ChIJ6fqtHSwfoFMR7CEvWZoiuzA,Hanjan South,T6E,SouthBonnie Doon /  EastUniversity,asian cuisine,korean restaurant,moderate,4.4,1558.0,False,False,True,True,True,False,False,4,2,78.0,13.0,13.0,13.0
ChIJ7ZdRkS8YoFMRdu9QcUqgN9s,The Ridge Pub & Eatery and LIQUOR OFF SALE,T6P,EastSoutheast Industrial /  SouthClover Bar,beverage and bar,bar,moderate,4.3,256.0,False,False,True,True,True,False,False,5,2,82.0,11.714285714285714,12.2,10.5
ChIJq1Ly8II8oFMRek77H5UYvXI,Blaze Pizza,T5Y,Horse Hill /  EastLake District,western cuisine,italian restaurant,inexpensive,4.6,1571.0,True,True,True,True,True,False,False,5,2,77.0,11.0,11.0,11.0
ChIJjTqASL8koFMROtRt5jagpss,Edo Japan,T5X,EastCastle Downs,fast or casual dining,fast food restaurant,inexpensive,3.9,195.0,True,True,True,True,True,False,False,5,2,76.0,10.857142857142858,11.0,10.5
ChIJ1byBhnAioFMR9L65k14J150,Café Bicyclette,T6C,CentralBonnie Doon,beverage and bar,beverage shop,moderate,4.4,1135.0,False,True,True,True,True,False,False,4,2,64.0,10.666666666666666,11.0,10.0
ChIJMyjzhpEioFMRxakn6aLDo5c,Pizza 73,T6B,SECapilano /  WestSoutheast Industrial /  EastBonnie Doon,western cuisine,italian restaurant,inexpensive,4.3,270.0,True,True,False,True,True,False,False,5,2,99.0,14.142857142857142,14.2,14.0
ChIJVVWV208ioFMRlVnNfUTGbXE,Tim Hortons,T5J,NorthDowntown,beverage and bar,beverage shop,inexpensive,3.8,54.0,True,False,False,True,True,False,False,5,0,40.0,8.0,8.0,0.0
ChIJhU87_EcioFMRILYzvLGV0kc,I Love Sushi,T5J,NorthDowntown,asian cuisine,japanese restaurant,moderate,4.4,611.0,False,True,False,True,False,True,False,5,1,55.0,9.166666666666666,10.0,5.0
ChIJa-Dlr70ioFMRlmqCPJgAibw,Quiznos,T6A,NorthCapilano,fast or casual dining,fast food restaurant,inexpensive,3.5,109.0,True,False,False,True,True,False,False,5,2,75.0,10.714285714285714,11.0,10.0
ChIJWYWgUY8YoFMRdxiSzOolSpM,Carl's Jr.,T6C,CentralBonnie Doon,fast or casual dining,fast food restaurant,moderate,4.2,2103.0,True,True,True,True,True,False,False,5,2,102.5,14.642857142857142,14.7,14.5
ChIJScJBKLQfoFMR1oSKwnWP7pg,Hart's Table & Bar,T6R,Riverbend,beverage and bar,bar,moderate,4.3,1302.0,True,True,True,True,True,False,False,5,2,89.0,12.714285714285714,12.4,13.5
ChIJX9_gn-IgoFMRNLxUx1zIHsU,Olive Garden Italian Restaurant,T5S,WestNorthwest Industrial / Winterburn,western cuisine,italian restaurant,moderate,4.2,4338.0,True,True,True,True,True,False,False,5,2,79.0,11.285714285714286,11.2,11.5
ChIJlczfqrA8oFMRv9vhea1oAFo,A&W Canada,T5A,WestClareview /  EastLondonderry,western cuisine,american restaurant,inexpensive,3.9,543.0,True,True,True,True,True,False,True,5,2,168.0,24.0,24.0,24.0
ChIJ21_pTSYfoFMRaUg30E1_yQo,Chopped Leaf,T6J,Kaskitayo / Aspen Gardens,other cuisine,vegan restaurant,moderate,3.9,373.0,True,True,False,True,True,False,False,5,2,108.0,15.428571428571429,16.0,14.0
ChIJvZmCxW8YoFMReKivSlFYHzI,India Garden Restaurant,T6B,SECapilano /  WestSoutheast Industrial /  EastBonnie Doon,asian cuisine,indian restaurant,moderate,4.2,526.0,False,True,True,True,True,False,False,5,2,70.0,10.0,10.0,10.0
ChIJGX3WMPweoFMRNAChK3gz1i0,Pizza Hut,T6J,Kaskitayo / Aspen Gardens,western cuisine,italian restaurant,moderate,4.0,471.0,False,True,False,True,True,False,False,5,2,96.5,13.785714285714286,13.7,14.0
ChIJZ9nJZH0foFMR0bF-62qh11U,Pizza 73,T5A,WestClareview /  EastLondonderry,western cuisine,italian restaurant,inexpensive,4.5,520.0,True,True,False,True,True,False,False,5,2,99.0,14.142857142857142,14.2,14.0
ChIJSVw0MUMgoFMRKwj2plWUpzg,Smilie's Place,T5T,West Jasper Place / West Edmonton Mall,delivery or takeaway,meal delivery,inexpensive,3.8,282.0,False,False,False,True,True,False,False,5,2,105.0,15.0,15.0,15.0
ChIJlSN62HUYoFMRhp69zP6Oa_U,Simply Donairs,T6B,SECapilano /  WestSoutheast Industrial /  EastBonnie Doon,generic restaurant,restaurant,inexpensive,4.6,940.0,False,True,True,True,True,False,False,5,2,77.0,11.0,11.0,11.0
ChIJEcLYQBkioFMR8CSP_Yf9Xhs,La Poutine,T6G,WestUniversity / Strathcona Place,fast or casual dining,fast food restaurant,moderate,4.5,1130.0,False,True,False,True,True,False,False,4,2,66.0,11.0,11.0,11.0
ChIJe1k_J2AkoFMRM_c6tsv9ztY,Orlando's Pub & Grill (121st St.),T5X,EastCastle Downs,beverage and bar,bar,moderate,4.0,182.0,False,False,True,True,True,False,False,5,2,95.0,13.571428571428571,13.6,13.5
ChIJsx6hmAoioFMRQEYKWp5GY9g,Blue Chair,T6C,CentralBonnie Doon,generic restaurant,restaurant,moderate,4.3,579.0,True,True,True,True,True,False,False,5,2,77.0,11.0,11.7,9.25
